,Text
75,"   표창원, 세월호 특조위 자문위원 위촉.. 네티즌 응원 ‘봇물’..아직 깊은 바닷 속에서 눈도 제대로 못감고있는 희생자들의 원혼을 위해서라도 꼭 '진실'을 밝혀주시길ᆢ m.gobalnews.com/news/articleVi… pic.twitter.com/zCrIboETAy  "
76,"   [한겨레21] 세월호 청문회 증인들의 거짓말 “내가 신이냐”…세월호 구조실패, 아무도 사과하지 않았다 hani.co.kr/arti/society/s… pic.twitter.com/UK7N8Urkmo  "
77,"   표창원, 세월호 특조위 자문위원 위촉.. 네티즌 응원 ‘봇물’ is.gd/PB150A #고발뉴스 pic.twitter.com/7mnRDmnyKY  "
78,   탈당 했거나 탈당하려는 자들 중 세월호의 진실규명과 유족들의 아픔을 달래주려는 노력을 했던 자들은 없습니다. 이들에게 국민은 표 이상도 이하도 아닙니다. 이들의 고향이 호남이 아니였다면 기호1번을 원했을 자들입니다.  
79,   KBS에선 이제  '물대포' 용어가 사라지고 '물줄기'가 됐다. '재벌'은 혐오스러우니 '대기업집단'으로 순화하고 앰부시인터뷰는 상대방에게 모욕적이니 하지말란다. 세월호청문회 마지막날 제발 9시뉴스에 다뤄달라는 평기자 대표의 요청은 '압력 행사'란다  
80,  세월호 유가족들의 기록을 정리한 오디오북 ‘금요일엔 돌아오렴’이 발표됐습니다. 배우 문소리 고창석 박철민 권해효 등의 목소리로 참여했습니다. vop.co.kr/A00000974134.h… pic.twitter.com/QMUh6S5VF2  
81,"   ""뻔뻔한 거짓말..세월호 유가족들 천막에서, 광장에서 물대포 맞고 끌려갈때, 피눈물 흘릴때 곁에 한번이라도 가준 적이 있었는가? pic.twitter.com/uOg9sJbDs5""... MB의 희대의 사기극에 버금가는 사기의기술을 펼칠 위인.  "
82,"  세월호 청문회 증인들, 사전 ‘말 맞추기’ 의혹까지... 정말 해도해도 너무들 하시네요! pic.twitter.com/Dxuau1bURs  "
83,"   조국, 정태인, 한상희 교수님도 영화<나쁜나라>를 응원합니다! 내일(12/23) 저녁7시반 종로3가 서울극장 인디스페이스에서 참여연대와 함께봐요~ 신청>> goo.gl/AiIS5I #세월호 pic.twitter.com/YfTn4DMzHq  "
84,   2.  세월호 민간잠수사들 이야기...   facebook.com/permalink.php?…  
85,   Sorry #Christmas #세월호 pic.twitter.com/rPUt7bnPL0  
86,"   시민 사망은 1위 청해진해운(세월호), 그 뒤로 옥시레킷벤키저(가습기살균제), 코오롱(체육관붕괴), 장성 효사랑 요양병원(화재), 여수출입국사무소(화재) 순. 출입국사무소는 사람들을 거의 감금해놔서 관리자가 먼저 도망가자 그대로 타죽은 거라고 들었다.  "
87,"   ""올해 최악의 살인기업"" 순위가 있길래 찾아봤더니, 2015년 시민 살해 1위는 청해진 해운(세월호), 노동자 살해 1위는 삼성전자(발암물질)가 뽑혔다. h21.hani.co.kr/arti/cover/cov… pic.twitter.com/DBJez8gR2E  "
88,"   '잘 모르겠다', '기억이 안 난다' 마치 짠 것처럼 같은 답변을 반복하던 세월호 청문회 증인들, 미리 대책회의라도 한 걸까요. 사전 '입 맞추기' 가능성을 보여주는 문건이 공개됐습니다.  bit.ly/1QDKgzg  "
89,"  세월호 특조위 ""청문회 증인들 사전 '말맞추기' 의혹"" fb.me/7yhruUnqJ  "
90,"   대구에서 시작된 #세월호 다큐 '나쁜 나라' 티켓 자발적 후원, 서울·부산·뉴욕 시민들도 동참하고 있습니다. pressian.com/news/article.h… pic.twitter.com/qJNJ5s4zvb  "
91,"   고발뉴스닷컴 모바일, 미국‧캐나다‧일본 재외동포들 크리스마스 트리 앞 ‘세월호 집회’ m.gobalnews.com/news/articleVi…  "
92,   이보다 더 생생한 #세월호 #청문회 취재후기는 없을 것 같습니다. 일독 권합니다.  <“왜 안한 것만 물어봅니까?” – 촬영기자의 세월호 청문회 후기> blog.newstapa.org/summer/2770 #김수영  
93,"   1년이 지난 지금, 세월호는 끝나지 않았다. 그리고 많은 사람은 침묵했다. 지겹다는 이유로, 종북몰이가 무서워서, 다들 조용했다. 이 웹툰작가는 세월호를 얘기했다. 오늘. m.webtoon.daum.net/m/webtoon/view…  "
94,   국회는 세월호청문회 장소를 내주길 거부했습니다. 여당 특조위원 몇몇은 청문회 불참하면서 출마 준비에 바빴고요. 세월호 특조위 1차 청문회의 다섯 장면을 정리했습니다. goo.gl/MsahHB pic.twitter.com/87gxomkKRm  
95,"  세월호 다큐 <나쁜 나라>, 익명의 ‘티켓 기부’ 줄이어  hani.co.kr/arti/society/s… pic.twitter.com/JwHYDL3z5S  "
96,"  세월호 박근혜,국정원 철저히조사하고 그결과를발표하라 12/21 0:00 구조0명반드시밝혀라  다이빙벨 m.youtube.com/watch?feature=… 755,020조회  매일12시 #유권소#온라인시위 pic.twitter.com/vBjjg75CVE  "
97,   “진실이 쉽게 드러난다면 세상이 이렇게 복잡하거나 고통스럽지는 않았을 것이다. 진실이 밝혀지면 그때 가서야 비로소 안도를 하지만 그렇게 갈 때까지 너무나 많은 변수들 때문에 괴로워하게 된다. 이런 괴로움과 고뇌는 숙명이다.” 이석태 세월호 조사위원장  
98,"  세월호에서 사라진 9명... 여러분 가족이라면, 어떤 심정이겠습니까?... 아무 잘못없이 죽고, 죽은 이유도 모르고, 시신도 찾지 못한 원한이, 천년이 간다한들 사라지겠습니까? pic.twitter.com/lhKmoEAfCS  "
99,"   [참여부탁] 잊지 않겟습니다. 올해가 가기전 세월호를 다룬 영화<나쁜나라>함께 꼭 봐요! 12/23(수) 오후7시, 인디페이스(종로3가, 서울극장6관) *신청 > goo.gl/6JkfeB pic.twitter.com/fUsMDvIBIt  "
100,   이때  김한길과 안철수가 대표였다ᆞ 이들의 능력은 무려  사상 최초로《 관제 야당》이라는  영예를  안았다ᆞ  세월호 참사 정국.. '관제야당' 비난까지 받는 새정련 | media.daum.net/v/201405051806…  
101,   아이들이 절규하며  손톱이 다 닳도록 철문을 긁고 두드리며 구조를 기다릴때 해경은 학생들이 아닌 선원들을 구조하였고 승무원 중 유일하게 선박직 승무원 15명은 전원 구조됐습니다. 이것이 세월호 진실입니다. pic.twitter.com/X7DXZFi85J  
